 ******* Program HYDRUS
 ******* 
 Esperance                                                               
 Date:  27. 4.    Time:  12:52:34
 Units: L = cm   , T = sec  , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  11    -1.1856    -781.860 0.1527   0.1103E-07  0.6712E-04 -0.8580E-06  0.0000E+00      -1  -0.107E-01   20.00
  12    -1.2902    -790.301 0.1522   0.1075E-07  0.6621E-04 -0.9196E-06  0.0000E+00      -1  -0.115E-01   20.00
  13    -1.3922    -799.345 0.1517   0.1045E-07  0.6522E-04 -0.9794E-06  0.0000E+00      -1  -0.122E-01   20.00
  14    -1.4917    -808.999 0.1512   0.1014E-07  0.6418E-04 -0.1038E-05  0.0000E+00      -1  -0.130E-01   20.00
  15    -1.5887    -819.275 0.1506   0.9802E-08  0.6306E-04 -0.1094E-05  0.0000E+00      -1  -0.137E-01   20.00
  16    -1.6831    -830.192 0.1500   0.9445E-08  0.6188E-04 -0.1149E-05  0.0000E+00      -1  -0.144E-01   20.00
  17    -1.7750    -841.778 0.1493   0.9066E-08  0.6062E-04 -0.1202E-05  0.0000E+00      -1  -0.150E-01   20.00
  18    -1.8643    -854.073 0.1486   0.8664E-08  0.5928E-04 -0.1254E-05  0.0000E+00      -1  -0.157E-01   20.00
  19    -1.9511    -867.133 0.1479   0.8237E-08  0.5787E-04 -0.1304E-05  0.0000E+00      -1  -0.163E-01   20.00
  20    -2.0354    -881.037 0.1471   0.7782E-08  0.5636E-04 -0.1354E-05  0.0000E+00      -1  -0.169E-01   20.00
  21    -2.1171    -895.896 0.1463   0.7296E-08  0.5474E-04 -0.1402E-05  0.0000E+00      -1  -0.175E-01   20.00
  22    -2.1963    -911.868 0.1454   0.6773E-08  0.5301E-04 -0.1449E-05  0.0000E+00      -1  -0.181E-01   20.00
  23    -2.2729    -929.187 0.1445   0.6206E-08  0.5113E-04 -0.1496E-05  0.0000E+00      -1  -0.187E-01   20.00
  24    -2.3470    -948.219 0.1434   0.5584E-08  0.4906E-04 -0.1543E-05  0.0000E+00      -1  -0.193E-01   20.00
  25    -2.4185    -969.575 0.1422   0.4885E-08  0.4675E-04 -0.1592E-05  0.0000E+00      -1  -0.199E-01   20.00
  26    -2.4876    -993.366 0.1412   0.4466E-08  0.4498E-04 -0.1633E-05  0.0000E+00      -1  -0.204E-01   20.00
  27    -2.5540   -1018.620 0.1402   0.4195E-08  0.4349E-04 -0.1665E-05  0.0000E+00      -1  -0.208E-01   20.00
  28    -2.6180   -1045.072 0.1392   0.3912E-08  0.4193E-04 -0.1696E-05  0.0000E+00      -1  -0.212E-01   20.00
  29    -2.6793   -1072.939 0.1382   0.3613E-08  0.4029E-04 -0.1726E-05  0.0000E+00      -1  -0.216E-01   20.00
  30    -2.7382   -1102.534 0.1371   0.3295E-08  0.3854E-04 -0.1754E-05  0.0000E+00      -1  -0.219E-01   20.00
  31    -2.7945   -1134.346 0.1359   0.2954E-08  0.3667E-04 -0.1782E-05  0.0000E+00      -1  -0.223E-01   20.00
  32    -2.8483   -1169.183 0.1346   0.2580E-08  0.3462E-04 -0.1809E-05  0.0000E+00      -1  -0.226E-01   20.00
  33    -2.8995   -1208.540 0.1331   0.2158E-08  0.3230E-04 -0.1836E-05  0.0000E+00      -1  -0.230E-01   20.00
  34    -2.9482   -1253.726 0.1316   0.1825E-08  0.3021E-04 -0.1859E-05  0.0000E+00      -1  -0.232E-01   20.00
  35    -2.9943   -1303.287 0.1304   0.1652E-08  0.2864E-04 -0.1877E-05  0.0000E+00      -1  -0.235E-01   20.00
  36    -3.0379   -1355.949 0.1291   0.1468E-08  0.2697E-04 -0.1893E-05  0.0000E+00      -1  -0.237E-01   20.00
  37    -3.0790   -1412.951 0.1276   0.1269E-08  0.2517E-04 -0.1909E-05  0.0000E+00      -1  -0.239E-01   20.00
  38    -3.1175   -1476.641 0.1260   0.1047E-08  0.2316E-04 -0.1923E-05  0.0000E+00      -1  -0.240E-01   20.00
  39    -3.1535   -1552.519 0.1241   0.7829E-09  0.2075E-04 -0.1938E-05  0.0000E+00      -1  -0.242E-01   20.00
  40    -3.1869   -1641.758 0.1226   0.6749E-09  0.1920E-04 -0.1951E-05  0.0000E+00      -1  -0.244E-01   20.00
  41    -3.2178   -1739.197 0.1209   0.5652E-09  0.1756E-04 -0.1960E-05  0.0000E+00      -1  -0.245E-01   20.00
  42    -3.2462   -1850.012 0.1190   0.4403E-09  0.1569E-04 -0.1969E-05  0.0000E+00      -1  -0.246E-01   20.00
  43    -3.2720   -1986.821 0.1169   0.3044E-09  0.1357E-04 -0.1976E-05  0.0000E+00      -1  -0.247E-01   20.00
  44    -3.2953   -2154.958 0.1150   0.2434E-09  0.1206E-04 -0.1981E-05  0.0000E+00      -1  -0.248E-01   20.00
  45    -3.3160   -2353.083 0.1128   0.1716E-09  0.1029E-04 -0.1984E-05  0.0000E+00      -1  -0.248E-01   20.00
  46    -3.3342   -2608.511 0.1104   0.1113E-09  0.8557E-05 -0.1986E-05  0.0000E+00      -1  -0.248E-01   20.00
  47    -3.3499   -2948.167 0.1078   0.7183E-10  0.6947E-05 -0.1987E-05  0.0000E+00      -1  -0.248E-01   20.00
  48    -3.3630   -2949.068 0.3391   0.5693E-07  0.2035E-05 -0.1987E-05  0.0000E+00      -1  -0.248E-01   20.00
  49    -3.4910   -2953.408 0.3391   0.5693E-07  0.2048E-05 -0.1987E-05  0.0000E+00      -1  -0.248E-01   20.00
  50    -3.6190   -2957.749 0.3391   0.5692E-07  0.2061E-05 -0.1987E-05  0.0000E+00      -1  -0.248E-01   20.00
  51    -3.7470   -2962.090 0.3391   0.5691E-07  0.2073E-05 -0.1987E-05  0.0000E+00      -1  -0.248E-01   20.00
end


 Time:   103958.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -1122.630 0.1363   0.3080E-08  0.3736E-04  0.1932E-11  0.0000E+00      -1   0.241E-07   20.00
   2    -0.1300   -1123.043 0.1363   0.3075E-08  0.3734E-04 -0.2549E-07  0.0000E+00      -1  -0.319E-03   20.00
   3    -0.2574   -1124.510 0.1362   0.3060E-08  0.3725E-04 -0.5074E-07  0.0000E+00      -1  -0.634E-03   20.00
   4    -0.3824   -1126.983 0.1361   0.3033E-08  0.3710E-04 -0.7552E-07  0.0000E+00      -1  -0.944E-03   20.00
   5    -0.5047   -1130.430 0.1360   0.2996E-08  0.3690E-04 -0.9985E-07  0.0000E+00      -1  -0.125E-02   20.00
   6    -0.6246   -1134.826 0.1358   0.2949E-08  0.3664E-04 -0.1238E-06  0.0000E+00      -1  -0.155E-02   20.00
   7    -0.7418   -1140.160 0.1356   0.2892E-08  0.3633E-04 -0.1472E-06  0.0000E+00      -1  -0.184E-02   20.00
   8    -0.8566   -1146.430 0.1354   0.2824E-08  0.3596E-04 -0.1704E-06  0.0000E+00      -1  -0.213E-02   20.00
   9    -0.9688   -1153.648 0.1351   0.2747E-08  0.3553E-04 -0.1932E-06  0.0000E+00      -1  -0.241E-02   20.00
  10    -1.0785   -1161.840 0.1348   0.2659E-08  0.3505E-04 -0.2157E-06  0.0000E+00      -1  -0.270E-02   20.00
  11    -1.1856   -1171.053 0.1345   0.2560E-08  0.3451E-04 -0.2381E-06  0.0000E+00      -1  -0.298E-02   20.00
  12    -1.2902   -1181.357 0.1341   0.2450E-08  0.3390E-04 -0.2603E-06  0.0000E+00      -1  -0.325E-02   20.00
  13    -1.3922   -1192.860 0.1337   0.2326E-08  0.3322E-04 -0.2827E-06  0.0000E+00      -1  -0.353E-02   20.00
  14    -1.4917   -1205.719 0.1332   0.2189E-08  0.3247E-04 -0.3053E-06  0.0000E+00      -1  -0.382E-02   20.00
  15    -1.5887   -1220.179 0.1326   0.2034E-08  0.3162E-04 -0.3287E-06  0.0000E+00      -1  -0.411E-02   20.00
  16    -1.6831   -1236.510 0.1321   0.1885E-08  0.3075E-04 -0.3491E-06  0.0000E+00      -1  -0.436E-02   20.00
  17    -1.7750   -1254.142 0.1316   0.1823E-08  0.3020E-04 -0.3655E-06  0.0000E+00      -1  -0.457E-02   20.00
  18    -1.8643   -1272.687 0.1312   0.1759E-08  0.2961E-04 -0.3810E-06  0.0000E+00      -1  -0.476E-02   20.00
  19    -1.9511   -1292.163 0.1307   0.1691E-08  0.2899E-04 -0.3958E-06  0.0000E+00      -1  -0.495E-02   20.00
  20    -2.0354   -1312.603 0.1301   0.1619E-08  0.2835E-04 -0.4100E-06  0.0000E+00      -1  -0.512E-02   20.00
  21    -2.1171   -1334.062 0.1296   0.1545E-08  0.2767E-04 -0.4236E-06  0.0000E+00      -1  -0.529E-02   20.00
  22    -2.1963   -1356.621 0.1290   0.1466E-08  0.2695E-04 -0.4367E-06  0.0000E+00      -1  -0.546E-02   20.00
  23    -2.2729   -1380.389 0.1284   0.1383E-08  0.2620E-04 -0.4494E-06  0.0000E+00      -1  -0.562E-02   20.00
  24    -2.3470   -1405.526 0.1278   0.1295E-08  0.2541E-04 -0.4616E-06  0.0000E+00      -1  -0.577E-02   20.00
  25    -2.4185   -1432.257 0.1271   0.1202E-08  0.2456E-04 -0.4736E-06  0.0000E+00      -1  -0.592E-02   20.00
  26    -2.4876   -1460.913 0.1264   0.1102E-08  0.2365E-04 -0.4853E-06  0.0000E+00      -1  -0.607E-02   20.00
  27    -2.5540   -1492.006 0.1256   0.9939E-09  0.2267E-04 -0.4970E-06  0.0000E+00      -1  -0.621E-02   20.00
  28    -2.6180   -1526.374 0.1248   0.8741E-09  0.2158E-04 -0.5089E-06  0.0000E+00      -1  -0.636E-02   20.00
  29    -2.6793   -1564.976 0.1239   0.7614E-09  0.2050E-04 -0.5189E-06  0.0000E+00      -1  -0.649E-02   20.00
  30    -2.7382   -1606.625 0.1232   0.7145E-09  0.1980E-04 -0.5267E-06  0.0000E+00      -1  -0.658E-02   20.00
  31    -2.7945   -1649.852 0.1224   0.6658E-09  0.1907E-04 -0.5340E-06  0.0000E+00      -1  -0.667E-02   20.00
  32    -2.8483   -1694.933 0.1217   0.6150E-09  0.1831E-04 -0.5408E-06  0.0000E+00      -1  -0.676E-02   20.00
  33    -2.8995   -1742.268 0.1209   0.5617E-09  0.1751E-04 -0.5473E-06  0.0000E+00      -1  -0.684E-02   20.00
  34    -2.9482   -1792.469 0.1200   0.5051E-09  0.1666E-04 -0.5535E-06  0.0000E+00      -1  -0.692E-02   20.00
  35    -2.9943   -1846.523 0.1191   0.4443E-09  0.1575E-04 -0.5593E-06  0.0000E+00      -1  -0.699E-02   20.00
  36    -3.0379   -1906.187 0.1181   0.3770E-09  0.1474E-04 -0.5651E-06  0.0000E+00      -1  -0.706E-02   20.00
  37    -3.0790   -1974.150 0.1170   0.3090E-09  0.1368E-04 -0.5698E-06  0.0000E+00      -1  -0.712E-02   20.00
  38    -3.1175   -2048.648 0.1162   0.2820E-09  0.1302E-04 -0.5733E-06  0.0000E+00      -1  -0.717E-02   20.00
  39    -3.1535   -2125.806 0.1153   0.2540E-09  0.1233E-04 -0.5763E-06  0.0000E+00      -1  -0.720E-02   20.00
  40    -3.1869   -2206.496 0.1144   0.2247E-09  0.1160E-04 -0.5790E-06  0.0000E+00      -1  -0.724E-02   20.00
  41    -3.2178   -2292.176 0.1134   0.1937E-09  0.1084E-04 -0.5814E-06  0.0000E+00      -1  -0.727E-02   20.00
  42    -3.2462   -2385.618 0.1124   0.1598E-09  0.9999E-05 -0.5834E-06  0.0000E+00      -1  -0.729E-02   20.00
  43    -3.2720   -2491.570 0.1113   0.1250E-09  0.9111E-05 -0.5850E-06  0.0000E+00      -1  -0.731E-02   20.00
  44    -3.2953   -2606.803 0.1104   0.1116E-09  0.8565E-05 -0.5859E-06  0.0000E+00      -1  -0.732E-02   20.00
